GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQ1T,EMP
0100000US,,United States,811112,Automotive exhaust system repair,T,Establishments subject to federal income tax,820,20 largest firms,2002,142,140457,11.3,40124,9251,1312
0100000US,,United States,811112,Automotive exhaust system repair,T,Establishments subject to federal income tax,850,50 largest firms,2002,255,214026,17.3,60896,14154,1955
0100000US,,United States,811113,Automotive transmission repair,A,All establishments,001,All firms,2002,6695,2688614,100.0,813310,200547,28757
0100000US,,United States,811113,Automotive transmission repair,A,All establishments,804,4 largest firms,2002,25,53709,2.0,12357,2831,295
0100000US,,United States,811113,Automotive transmission repair,A,All establishments,808,8 largest firms,2002,38,81863,3.0,22867,5177,548
0100000US,,United States,811113,Automotive transmission repair,A,All establishments,820,20 largest firms,2002,60,136938,5.1,38288,8901,940
0100000US,,United States,811113,Automotive transmission repair,A,All establishments,850,50 largest firms,2002,110,216583,8.1,63148,14871,1615
0100000US,,United States,811113,Automotive transmission repair,T,Establishments subject to federal income tax,001,All firms,2002,6695,2688614,100.0,813310,200547,28757
0100000US,,United States,811113,Automotive transmission repair,T,Establishments subject to federal income tax,804,4 largest firms,2002,25,53709,2.0,12357,2831,295
0100000US,,United States,811113,Automotive transmission repair,T,Establishments subject to federal income tax,808,8 largest firms,2002,38,81863,3.0,22867,5177,548
0100000US,,United States,811113,Automotive transmission repair,T,Establishments subject to federal income tax,820,20 largest firms,2002,60,136938,5.1,38288,8901,940
0100000US,,United States,811113,Automotive transmission repair,T,Establishments subject to federal income tax,850,50 largest firms,2002,110,216583,8.1,63148,14871,1615
0100000US,,United States,811118,Other automotive mechanical and electrical repair and maintenance,A,All establishments,001,All firms,2002,6770,2705939,100.0,773828,186331,29699
0100000US,,United States,811118,Other automotive mechanical and electrical repair and maintenance,A,All establishments,804,4 largest firms,2002,244,158122,5.8,44790,10707,1502
0100000US,,United States,811118,Other automotive mechanical and electrical repair and maintenance,A,All establishments,808,8 largest firms,2002,256,208135,7.7,60002,14026,1873
0100000US,,United States,811118,Other automotive mechanical and electrical repair and maintenance,A,All establishments,820,20 largest firms,2002,304,295100,10.9,82747,19515,2556
0100000US,,United States,811118,Other automotive mechanical and electrical repair and maintenance,A,All establishments,850,50 largest firms,2002,410,430784,15.9,124602,29423,3842
0100000US,,United States,811118,Other automotive mechanical and electrical repair and maintenance,T,Establishments subject to federal income tax,001,All firms,2002,6770,2705939,100.0,773828,186331,29699
0100000US,,United States,811118,Other automotive mechanical and electrical repair and maintenance,T,Establishments subject to federal income tax,804,4 largest firms,2002,244,158122,5.8,44790,10707,1502
0100000US,,United States,811118,Other automotive mechanical and electrical repair and maintenance,T,Establishments subject to federal income tax,808,8 largest firms,2002,256,208135,7.7,60002,14026,1873
0100000US,,United States,811118,Other automotive mechanical and electrical repair and maintenance,T,Establishments subject to federal income tax,820,20 largest firms,2002,304,295100,10.9,82747,19515,2556
